timestamp,timestamp_iso,requirement_norm,accom_type_norm,gender_norm,food_pref_norm,furnished_bool,red_eye_bool,area_norm,move_in_date,move_in_date_iso,rent_amount,rent_amount_num,lease_duration,lease_duration_months,utilities_included_bool,bathroom_type_norm,distance_to_campus_miles,people_count_num,description_summary,contact,heat_available_bool,water_available_bool,laundry_available_bool,other_details
4/30/24 9:40 AM,2024-04-30,offering,shared,female,non-veg,False,,fenway,May 15,2025-05-15,500,500,12 months,12,,shared,0.5,2,Female shared room Fenway,female.share.fenway@gmail.com,True,True,,Female roommate
4/30/24 10:55 AM,2024-04-30,looking,4bhk,mixed,,True,False,longwood,available now,,750,750,flexible,,,2 bathroom,0.4,4,Large 4BHK needed,large.apartment.search@gmail.com,True,True,,Spacious needed
4/30/24 12:10 PM,2024-04-30,offering,studio,male,veg,,,back bay,early June,2025-06-27,$1050,1050,9 months,9,False,private,1.1,1,Veg studio for male,veg.studio.male@hotmail.com,True,True,,Veg male
4/30/24 1:25 PM,2024-04-30,offering,2 bed,,no preference,,True,roxbury,June 15,2025-06-15,600,600,12 months,12,True,shared,1.3,2,2BR near NEU campus,near.neu.2br@gmail.com,True,True,,Near campus
4/30/24 2:35 PM,2024-04-30,looking,private,female,,True,,brookline,May 1,2025-05-01,800,800,6 months,6,True,private,1.7,1,Private room for female,female.private.search@gmail.com,True,True,,Female only
4/30/24 3:50 PM,2024-04-30,offering,3bhk,male,veg,,False,brighton,ASAP,,$575,575,flexible,,,shared,2.8,4,3BHK veg male household,veg.male.3bhk@yahoo.com,True,True,,Veg males
4/30/24 5:05 PM,2024-04-30,offering,shared,any,vegetarian,False,,allston,mid June,2025-06-27,450,450,12 months,12,,shared,2.1,2,Veg shared room Allston,veg.allston.share@gmail.com,True,True,,Veg household
4/30/24 6:20 PM,2024-04-30,looking,1 bed,female,,True,True,cambridge,June 1,2025-06-01,950,950,9 months,9,False,private,3.0,1,1BR for female professional,professional.female.cambridge@gmail.com,True,True,,Professional
4/30/24 7:30 PM,2024-04-30,offering,4 bed,mixed,non-veg,,,mission hill,May 20,2025-05-20,$550,550,6 months,6,True,shared,0.7,5,4BR student apartment,student.4br.mh@hotmail.com,True,True,,Students
4/30/24 8:45 PM,2024-04-30,offering,2bhk,male,,,False,jamaica plain,available now,,650,650,12 months,12,True,shared,2.5,2,2BHK for male students,male.2bhk.jp@gmail.com,True,True,,Male household
4/30/24 10:00 PM,2024-04-30,looking,studio,,veg,True,,fenway,early May,2025-05-27,1000,1000,flexible,,,private,0.6,1,Veg studio apartment,veg.studio.fenway@gmail.com,True,True,,Veg cooking
5/1/24 7:20 AM,2024-05-01,offering,private,female,vegetarian,,True,longwood,June 15,2025-06-15,$900,900,9 months,9,,private,0.3,1,Private veg room female,female.veg.private@yahoo.com,True,True,,Veg female
5/1/24 8:35 AM,2024-05-01,offering,3 bed,any,,False,,back bay,May 1,2025-05-01,710,710,12 months,12,False,shared,1.0,4,3BR Back Bay apartment,backbay.3br.apt@gmail.com,True,True,,Prime location
5/1/24 9:45 AM,2024-05-01,looking,shared,male,non-veg,True,False,roxbury,ASAP,,500,500,6 months,6,True,shared,1.4,2,Male shared room needed,male.share.needed@hotmail.com,True,True,,Need now
5/1/24 11:00 AM,2024-05-01,offering,4bhk,female,,,,brookline,mid May,2025-05-27,$850,850,flexible,,True,2 bathroom,1.8,5,4BHK for female students,female.4bhk.brookline@gmail.com,True,True,,Female house
5/1/24 12:15 PM,2024-05-01,offering,1 bed,mixed,veg,,True,brighton,June 1,2025-06-01,1100,1100,9 months,9,,private,2.7,1,1BR veg apartment,veg.1br.brighton@yahoo.com,True,True,,Veg cooking
5/1/24 1:30 PM,2024-05-01,looking,2 bed,,no preference,True,,allston,May 15,2025-05-15,600,600,12 months,12,,shared,2.0,2,2BR near BU campus,bu.area.housing@gmail.com,True,True,True,Near BU
5/1/24 2:40 PM,2024-05-01,offering,studio,male,,,False,cambridge,available now,,$1050,1050,6 months,6,False,private,3.2,1,Studio for male near MIT,male.mit.studio@gmail.com,True,True,,Near MIT
5/1/24 3:55 PM,2024-05-01,offering,3bhk,female,veg,False,,mission hill,early June,2025-06-27,710,710,flexible,,True,shared,0.8,3,3BHK veg female apartment,veg.female.3bhk@hotmail.com,True,True,,Veg females
5/1/24 5:10 PM,2024-05-01,looking,private,any,vegetarian,True,True,jamaica plain,June 15,2025-06-15,850,850,9 months,9,True,private,2.6,1,Private veg room wanted,veg.private.wanted@gmail.com,True,True,,Veg household
5/1/24 6:25 PM,2024-05-01,offering,shared,male,,,,fenway,May 20,2025-05-20,$450,450,12 months,12,,shared,0.5,3,Male shared Fenway,male.fenway.shared@yahoo.com,True,True,,Male roommates
5/1/24 7:35 PM,2024-05-01,offering,4 bed,female,non-veg,,False,longwood,ASAP,,550,550,6 months,6,,shared,0.4,5,4BR for female students,female.4br.longwood@gmail.com,True,True,,Female students
5/1/24 8:50 PM,2024-05-01,looking,2bhk,mixed,,True,,back bay,mid June,2025-06-27,650,650,flexible,,,shared,1.1,2,2BHK in Back Bay,backbay.2bhk.search@gmail.com,True,True,,Central location
5/2/24 7:10 AM,2024-05-02,offering,1 bed,,veg,,True,roxbury,June 1,2025-06-01,$900,900,12 months,12,True,private,1.2,1,1BR veg apartment Roxbury,veg.1br.rox@hotmail.com,True,True,True,Veg household
5/2/24 8:25 AM,2024-05-02,offering,studio,male,vegetarian,,,brookline,May 1,2025-05-01,1000,1000,9 months,9,True,private,1.7,1,Veg studio for male,veg.male.studio@gmail.com,True,True,,Veg male
5/2/24 9:40 AM,2024-05-02,looking,3 bed,female,,True,False,brighton,available now,,575,575,6 months,6,,shared,2.8,3,3BR for female students,female.3br.brighton@yahoo.com,True,True,,Female students
5/2/24 10:50 AM,2024-05-02,offering,shared,any,non-veg,,,allston,early May,2025-05-27,$500,500,12 months,12,,shared,2.1,2,Shared room Allston,allston.shared.room@gmail.com,True,True,,Near T
5/2/24 12:05 PM,2024-05-02,offering,4bhk,male,,False,True,cambridge,June 15,2025-06-15,750,750,flexible,,False,2 bathroom,3.0,5,4BHK for male students,male.4bhk.cambridge@hotmail.com,True,True,,Male house
5/2/24 1:20 PM,2024-05-02,looking,private,female,veg,True,,mission hill,May 20,2025-05-20,800,800,9 months,9,True,private,0.7,1,Private veg room for female,female.veg.private.mh@gmail.com,True,True,True,Veg female
5/2/24 2:35 PM,2024-05-02,offering,2 bed,mixed,no preference,,False,jamaica plain,ASAP,,$650,650,6 months,6,True,shared,2.5,2,2BR furnished JP,furnished.2br.jp@yahoo.com,True,True,,Furnished
5/2/24 3:45 PM,2024-05-02,offering,3bhk,,vegetarian,,,fenway,mid May,2025-05-27,710,710,12 months,12,,shared,0.6,4,3BHK veg apartment,veg.3bhk.fenway@gmail.com,True,True,,Veg cooking
5/2/24 5:00 PM,2024-05-02,looking,studio,male,,True,True,longwood,June 1,2025-06-01,1050,1050,flexible,,,private,0.3,1,Studio near hospitals,hospital.studio.search@gmail.com,True,True,,Medical area
5/2/24 6:15 PM,2024-05-02,offering,1 bed,female,veg,,,back bay,May 15,2025-05-15,$1100,1100,9 months,9,False,private,1.0,1,1BR veg for female,female.veg.1br@hotmail.com,True,True,,Veg female
5/2/24 7:30 PM,2024-05-02,offering,shared,any,,False,False,roxbury,available now,,450,450,12 months,12,True,shared,1.3,2,Shared room near NEU,neu.shared.room@gmail.com,True,True,,Near campus
5/2/24 8:40 PM,2024-05-02,looking,4 bed,male,non-veg,True,,brookline,early June,2025-06-27,550,550,6 months,6,True,shared,1.8,4,4BR for male students,male.4br.search@yahoo.com,True,True,,Male students
5/2/24 9:55 PM,2024-05-02,offering,2bhk,female,,,True,brighton,June 15,2025-06-15,$650,650,flexible,,,shared,2.7,2,2BHK for females,female.2bhk.brighton@gmail.com,True,True,,Female household
5/3/24 7:25 AM,2024-05-03,offering,private,mixed,veg,,,allston,May 1,2025-05-01,850,850,12 months,12,,private,2.0,1,Private veg room Allston,veg.private.allston@hotmail.com,True,True,,Veg household
5/3/24 8:35 AM,2024-05-03,looking,3 bed,,vegetarian,True,False,cambridge,ASAP,,710,710,9 months,9,False,shared,3.1,3,3BR veg apartment wanted,veg.3br.cambridge@gmail.com,True,True,True,Veg household
5/3/24 9:50 AM,2024-05-03,offering,studio,male,,,,mission hill,mid June,2025-06-27,$1000,1000,6 months,6,True,private,0.8,1,Studio for male student,male.studio.mh@yahoo.com,True,True,,Male student
5/3/24 11:05 AM,2024-05-03,offering,shared,female,non-veg,False,True,jamaica plain,June 1,2025-06-01,500,500,12 months,12,True,shared,2.6,2,Female shared JP,female.shared.jp@gmail.com,True,True,,Female roommate
5/3/24 12:20 PM,2024-05-03,looking,1 bed,any,,True,,fenway,May 20,2025-05-20,900,900,flexible,,,private,0.5,1,1BR Fenway area,fenway.1br.search@hotmail.com,True,True,,Near stadium
5/3/24 1:30 PM,2024-05-03,offering,4bhk,male,veg,,False,longwood,available now,,$750,750,9 months,9,,2 bathroom,0.4,5,4BHK veg male house,veg.male.4bhk@gmail.com,True,True,,Veg males
5/3/24 2:45 PM,2024-05-03,offering,2 bed,female,no preference,,,back bay,early May,2025-05-27,600,600,12 months,12,False,shared,1.1,2,2BR for female students,female.2br.backbay@yahoo.com,True,True,,Female students
5/3/24 4:00 PM,2024-05-03,looking,private,,vegetarian,True,True,roxbury,June 15,2025-06-15,800,800,6 months,6,True,private,1.4,1,Private veg room needed,veg.private.rox@gmail.com,True,True,True,Veg cooking
5/3/24 5:15 PM,2024-05-03,offering,3bhk,mixed,,,,brookline,May 1,2025-05-01,$710,710,flexible,,True,shared,1.7,4,3BHK furnished Brookline,furnished.3bhk.bkln@hotmail.com,True,True,,Furnished
5/3/24 6:25 PM,2024-05-03,offering,studio,male,veg,False,False,brighton,ASAP,,1050,1050,9 months,9,,private,2.8,1,Veg studio male Brighton,veg.male.brighton@gmail.com,True,True,,Veg male
5/3/24 7:40 PM,2024-05-03,looking,shared,female,,True,,allston,mid May,2025-05-27,450,450,12 months,12,,shared,2.1,2,Female shared room wanted,female.share.allston@yahoo.com,True,True,,Female student
5/3/24 8:55 PM,2024-05-03,offering,4 bed,any,non-veg,,True,cambridge,June 1,2025-06-01,$550,550,6 months,6,False,shared,3.0,5,4BR student house,student.4br.cambridge@gmail.com,True,True,,Student house
5/3/24 10:10 PM,2024-05-03,offering,2bhk,male,,,,mission hill,May 15,2025-05-15,650,650,flexible,,True,shared,0.7,2,2BHK for male students,male.2bhk.mh@hotmail.com,True,True,,Male students
5/4/24 7:15 AM,2024-05-04,looking,1 bed,female,veg,True,False,jamaica plain,available now,,950,950,9 months,9,True,private,2.5,1,1BR veg for female,female.veg.1br.jp@gmail.com,True,True,,Veg female
5/4/24 8:30 AM,2024-05-04,offering,private,mixed,vegetarian,,,fenway,early June,2025-06-27,$900,900,12 months,12,,private,0.6,1,Private veg room Fenway,veg.private.fenway@yahoo.com,True,True,,Veg household
5/4/24 9:40 AM,2024-05-04,offering,3 bed,,no preference,False,True,longwood,June 15,2025-06-15,575,575,6 months,6,,shared,0.3,4,3BR near hospitals,hospital.3br.apt@gmail.com,True,True,,Medical area
5/4/24 10:55 AM,2024-05-04,looking,studio,male,,True,,back bay,May 20,2025-05-20,1100,1100,flexible,,False,private,1.0,1,Studio for professional male,professional.male.studio@hotmail.com,True,True,,Professional
5/4/24 12:10 PM,2024-05-04,offering,shared,female,veg,,False,roxbury,ASAP,,$500,500,12 months,12,True,shared,1.2,2,Veg female shared room,veg.female.share@gmail.com,True,True,,Veg females
5/4/24 1:25 PM,2024-05-04,offering,4bhk,any,,,,brookline,mid June,2025-06-27,850,850,9 months,9,True,2 bathroom,1.8,5,Large 4BHK Brookline,large.4bhk.brookline@yahoo.com,True,True,,Spacious
5/4/24 2:35 PM,2024-05-04,looking,2 bed,male,non-veg,True,True,brighton,June 1,2025-06-01,650,650,6 months,6,,shared,2.7,2,2BR for male students,male.2br.brighton@gmail.com,True,True,,Male students
5/4/24 3:50 PM,2024-05-04,offering,3bhk,female,,,,allston,May 1,2025-05-01,$710,710,12 months,12,,shared,2.0,3,3BHK for female students,female.3bhk.allston@hotmail.com,True,True,,Female household
5/4/24 5:05 PM,2024-05-04,offering,1 bed,mixed,veg,False,False,cambridge,available now,,1100,1100,flexible,,False,private,3.2,1,1BR veg apartment,veg.1br.cambridge@gmail.com,True,True,,Veg cooking
5/4/24 6:20 PM,2024-05-04,looking,private,,vegetarian,True,,mission hill,early May,2025-05-27,800,800,9 months,9,True,private,0.8,1,Private veg accommodation,veg.private.search.mh@yahoo.com,True,True,True,Veg household
5/4/24 7:30 PM,2024-05-04,offering,studio,male,,,True,jamaica plain,June 15,2025-06-15,$1050,1050,6 months,6,True,private,2.6,1,Furnished studio male JP,male.studio.jp@gmail.com,True,True,,Male student
5/4/24 8:45 PM,2024-05-04,offering,shared,female,non-veg,,,fenway,May 20,2025-05-20,450,450,12 months,12,,shared,0.5,2,Female shared Fenway,female.fenway.share@hotmail.com,True,True,,Female roommate
5/4/24 10:00 PM,2024-05-04,looking,4 bed,any,,True,False,longwood,ASAP,,550,550,flexible,,,shared,0.4,4,4BR near medical campus,medical.4br.search@gmail.com,True,True,,Medical students
5/5/24 7:20 AM,2024-05-05,offering,2bhk,male,veg,,,back bay,mid May,2025-05-27,$650,650,9 months,9,False,shared,1.1,2,2BHK veg for males,veg.male.2bhk@yahoo.com,True,True,,Veg males
5/5/24 8:35 AM,2024-05-05,offering,private,female,no preference,False,True,roxbury,June 1,2025-06-01,850,850,12 months,12,True,private,1.3,1,Private room for female,female.private.rox@gmail.com,True,True,,Female student
5/5/24 9:45 AM,2024-05-05,looking,3 bed,mixed,,True,,brookline,May 15,2025-05-15,710,710,6 months,6,True,shared,1.7,3,3BR in Brookline,brookline.3br.search@hotmail.com,True,True,,Near Coolidge
5/5/24 11:00 AM,2024-05-05,offering,studio,,veg,,False,brighton,available now,,$1000,1000,flexible,,,private,2.8,1,Veg studio Brighton,veg.studio.brighton@gmail.com,True,True,,Veg cooking
5/5/24 12:15 PM,2024-05-05,offering,1 bed,male,vegetarian,,,allston,early June,2025-06-27,900,900,12 months,12,,private,2.1,1,1BR veg male Allston,veg.male.1br.allston@yahoo.com,True,True,,Veg male
5/5/24 1:30 PM,2024-05-05,looking,shared,female,,True,True,cambridge,June 15,2025-06-15,500,500,9 months,9,False,shared,3.0,2,Female shared Cambridge,female.cambridge.share@gmail.com,True,True,True,Female student
5/5/24 2:40 PM,2024-05-05,offering,4bhk,any,non-veg,,,mission hill,May 1,2025-05-01,$750,750,6 months,6,True,2 bathroom,0.7,5,4BHK student house MH,student.4bhk.mh@hotmail.com,True,True,,Student house
5/5/24 3:55 PM,2024-05-05,offering,2 bed,male,,False,False,jamaica plain,ASAP,,600,600,12 months,12,True,shared,2.5,2,2BR for male students JP,male.2br.jp@gmail.com,True,True,,Male household
5/5/24 5:10 PM,2024-05-05,looking,private,female,veg,True,,fenway,mid June,2025-06-27,900,900,flexible,,,private,0.6,1,Private veg room female,female.veg.fenway@yahoo.com,True,True,,Veg female
5/5/24 6:25 PM,2024-05-05,offering,3bhk,mixed,vegetarian,,True,longwood,June 1,2025-06-01,$710,710,9 months,9,,shared,0.3,4,3BHK veg apartment,veg.3bhk.longwood@gmail.com,True,True,,Veg household
5/5/24 7:35 PM,2024-05-05,offering,studio,any,,,,back bay,May 20,2025-05-20,1050,1050,12 months,12,False,private,1.0,1,Studio Back Bay,backbay.studio.apt@hotmail.com,True,True,,Prime location
5/5/24 8:50 PM,2024-05-05,looking,shared,male,non-veg,True,False,roxbury,available now,,450,450,6 months,6,True,shared,1.4,2,Male shared room needed,male.share.rox@gmail.com,True,True,,Need now
5/6/24 7:10 AM,2024-05-06,offering,1 bed,female,,,,brookline,early May,2025-05-27,$1100,1100,flexible,,True,private,1.8,1,1BR for female Brookline,female.1br.brookline@yahoo.com,True,True,,Female student
5/6/24 8:25 AM,2024-05-06,offering,4 bed,mixed,veg,False,True,brighton,June 15,2025-06-15,550,550,9 months,9,,shared,2.7,5,4BR veg student house,veg.4br.brighton@gmail.com,True,True,,Veg household
5/6/24 9:40 AM,2024-05-06,looking,2bhk,,no preference,True,,allston,May 1,2025-05-01,650,650,12 months,12,,shared,2.0,2,2BHK Allston area,allston.2bhk.search@hotmail.com,True,True,True,Near BU
5/6/24 10:50 AM,2024-05-06,offering,private,male,,,False,cambridge,ASAP,,$850,850,6 months,6,False,private,3.1,1,Private room male Cambridge,male.private.cambridge@gmail.com,True,True,,Male student
5/6/24 12:05 PM,2024-05-06,offering,3 bed,female,veg,,,mission hill,mid May,2025-05-27,575,575,flexible,,True,shared,0.8,3,3BR veg female apartment,veg.female.3br.mh@yahoo.com,True,True,,Veg females
5/6/24 1:20 PM,2024-05-06,looking,studio,any,vegetarian,True,True,jamaica plain,June 1,2025-06-01,1000,1000,9 months,9,True,private,2.6,1,Veg studio wanted,veg.studio.jp@gmail.com,True,True,True,Veg cooking
5/6/24 2:35 PM,2024-05-06,offering,shared,male,,,,fenway,May 15,2025-05-15,$500,500,12 months,12,,shared,0.5,3,Male shared Fenway,male.fenway.shared.apt@hotmail.com,True,True,,Male roommates
5/6/24 3:45 PM,2024-05-06,offering,4bhk,female,non-veg,False,False,longwood,available now,,750,750,6 months,6,,2 bathroom,0.4,5,4BHK near hospitals,female.4bhk.longwood@gmail.com,True,True,,Female students
5/6/24 5:00 PM,2024-05-06,looking,2 bed,mixed,,True,,back bay,early June,2025-06-27,600,600,flexible,,False,shared,1.1,2,2BR Back Bay wanted,backbay.2br.wanted@yahoo.com,True,True,,Central location
5/6/24 6:15 PM,2024-05-06,offering,1 bed,,veg,,True,roxbury,June 15,2025-06-15,$900,900,12 months,12,True,private,1.2,1,1BR veg Roxbury,veg.1br.roxbury@gmail.com,True,True,True,Veg cooking
5/6/24 7:30 PM,2024-05-06,offering,private,male,vegetarian,,,brookline,May 20,2025-05-20,800,800,9 months,9,True,private,1.7,1,Private veg room male,male.veg.brookline@hotmail.com,True,True,,Veg male
5/6/24 8:40 PM,2024-05-06,looking,3bhk,female,,True,False,brighton,ASAP,,710,710,6 months,6,,shared,2.8,3,3BHK for female students,female.3bhk.brighton.search@gmail.com,True,True,,Female students
5/6/24 9:55 PM,2024-05-06,offering,studio,any,non-veg,,,allston,mid June,2025-06-27,$1050,1050,flexible,,,private,2.1,1,Furnished studio Allston,studio.allston.furnished@yahoo.com,True,True,,Modern building
5/7/24 7:25 AM,2024-05-07,offering,shared,male,,False,True,cambridge,June 1,2025-06-01,450,450,12 months,12,False,shared,3.0,2,Male shared near MIT,male.mit.shared@gmail.com,True,True,,Near MIT
5/7/24 8:35 AM,2024-05-07,looking,4 bed,female,veg,True,,mission hill,May 1,2025-05-01,550,550,9 months,9,True,shared,0.7,4,4BR veg female house,veg.female.4br.mh@hotmail.com,True,True,True,Veg females
5/7/24 9:50 AM,2024-05-07,offering,2bhk,mixed,no preference,,False,jamaica plain,available now,,$650,650,6 months,6,True,shared,2.5,2,2BHK furnished JP,2bhk.furnished.jp@gmail.com,True,True,,Furnished
5/7/24 11:05 AM,2024-05-07,offering,private,,vegetarian,,,fenway,early May,2025-05-27,850,850,12 months,12,,private,0.6,1,Private veg room Fenway,veg.private.fenway.apt@yahoo.com,True,True,,Veg household
5/7/24 12:20 PM,2024-05-07,looking,1 bed,male,,True,True,longwood,June 15,2025-06-15,1100,1100,flexible,,,private,0.3,1,1BR near medical campus,medical.1br.wanted@gmail.com,True,True,,Medical student
5/7/24 1:30 PM,2024-05-07,offering,3 bed,female,veg,,,back bay,May 20,2025-05-20,$710,710,9 months,9,False,shared,1.0,3,3BR veg female Back Bay,veg.female.backbay@hotmail.com,True,True,,Veg females
5/7/24 2:45 PM,2024-05-07,offering,studio,any,,False,False,roxbury,ASAP,,1000,1000,12 months,12,True,private,1.3,1,Studio near NEU,studio.neu.rox@gmail.com,True,True,,Near campus
5/7/24 4:00 PM,2024-05-07,looking,shared,male,non-veg,True,,brookline,mid May,2025-05-27,500,500,6 months,6,True,shared,1.8,2,Male shared Brookline,male.brookline.share@yahoo.com,True,True,,Male student
5/7/24 5:15 PM,2024-05-07,offering,4bhk,female,,,True,brighton,June 1,2025-06-01,$850,850,flexible,,,2 bathroom,2.7,5,4BHK female student house,female.house.brighton@gmail.com,True,True,,Female house
5/7/24 6:25 PM,2024-05-07,offering,2 bed,mixed,veg,,,allston,May 15,2025-05-15,600,600,12 months,12,,shared,2.0,2,2BR veg apartment,veg.2br.allston@hotmail.com,True,True,,Veg cooking
5/7/24 7:40 PM,2024-05-07,looking,private,,vegetarian,True,False,cambridge,available now,,900,900,9 months,9,False,private,3.2,1,Private veg room wanted,veg.private.cambridge.search@gmail.com,True,True,True,Veg household
5/7/24 8:55 PM,2024-05-07,offering,3bhk,male,,,,mission hill,early June,2025-06-27,$710,710,6 months,6,True,shared,0.8,4,3BHK for male students,male.3bhk.mh@yahoo.com,True,True,,Male students
5/7/24 10:10 PM,2024-05-07,offering,1 bed,female,non-veg,False,True,jamaica plain,June 15,2025-06-15,1100,1100,12 months,12,True,private,2.6,1,1BR for female JP,female.1br.jp@gmail.com,True,True,,Female student
5/8/24 7:15 AM,2024-05-08,looking,studio,any,,True,,fenway,May 1,2025-05-01,1050,1050,flexible,,,private,0.5,1,Studio near Fenway Park,fenway.studio.search@hotmail.com,True,True,,Near ballpark
5/8/24 8:30 AM,2024-05-08,offering,shared,male,veg,,False,longwood,ASAP,,$450,450,9 months,9,,shared,0.4,2,Veg male shared room,veg.male.longwood@gmail.com,True,True,,Veg males
5/8/24 9:40 AM,2024-05-08,offering,4 bed,female,no preference,,,back bay,mid June,2025-06-27,550,550,12 months,12,False,shared,1.1,5,4BR for female students,female.4br.backbay@yahoo.com,True,True,,Female household
5/8/24 10:55 AM,2024-05-08,looking,2bhk,mixed,,True,True,roxbury,June 1,2025-06-01,650,650,6 months,6,True,shared,1.4,2,2BHK near T station,t.station.2bhk@gmail.com,True,True,True,Transit access
5/8/24 12:10 PM,2024-05-08,offering,private,,veg,,,brookline,May 20,2025-05-20,$800,800,flexible,,True,private,1.7,1,Private veg room Brookline,veg.private.bkln@hotmail.com,True,True,,Veg cooking
5/8/24 1:25 PM,2024-05-08,offering,3 bed,male,vegetarian,False,False,brighton,available now,,575,575,9 months,9,,shared,2.8,4,3BR veg male apartment,veg.male.3br.brighton@gmail.com,True,True,,Veg males
5/8/24 2:35 PM,2024-05-08,looking,studio,female,,True,,allston,early May,2025-05-27,1000,1000,12 months,12,,private,2.1,1,Studio for female student,female.studio.allston@yahoo.com,True,True,,Female student
5/8/24 3:50 PM,2024-05-08,offering,1 bed,any,non-veg,,True,cambridge,June 15,2025-06-15,$900,900,6 months,6,False,private,3.0,1,1BR furnished Cambridge,1br.furnished.cambridge@gmail.com,True,True,,Near Harvard
5/8/24 5:05 PM,2024-05-08,offering,shared,male,,,,mission hill,May 1,2025-05-01,500,500,flexible,,True,shared,0.7,3,Male shared Mission Hill,male.shared.mh@hotmail.com,True,True,,Male roommates
5/8/24 6:20 PM,2024-05-08,looking,4bhk,female,veg,True,False,jamaica plain,ASAP,,750,750,9 months,9,True,2 bathroom,2.5,4,4BHK veg female house,veg.female.house.jp@gmail.com,True,True,,Veg females
5/8/24 7:30 PM,2024-05-08,offering,2 bed,mixed,vegetarian,,,fenway,mid May,2025-05-27,$650,650,12 months,12,,shared,0.6,2,2BR veg Fenway,veg.2br.fenway@yahoo.com,True,True,,Veg cooking
5/8/24 8:45 PM,2024-05-08,offering,private,,no preference,False,True,longwood,June 1,2025-06-01,850,850,6 months,6,,private,0.3,1,Private room Longwood,private.longwood.apt@gmail.com,True,True,,Medical area
5/8/24 10:00 PM,2024-05-08,looking,3bhk,male,,True,,back bay,May 15,2025-05-15,710,710,flexible,,False,shared,1.0,3,3BHK for male students,male.3bhk.backbay@hotmail.com,True,True,,Male students
5/9/24 7:20 AM,2024-05-09,offering,studio,female,veg,,False,roxbury,June 15,2025-06-15,$1000,1000,9 months,9,True,private,1.2,1,Veg studio for female,female.veg.studio.rox@gmail.com,True,True,True,Veg female
5/9/24 8:35 AM,2024-05-09,offering,shared,any,,,,brookline,May 1,2025-05-01,450,450,12 months,12,True,shared,1.8,2,Shared room Brookline,shared.brookline.apt@yahoo.com,True,True,,Near shops
5/9/24 9:45 AM,2024-05-09,looking,1 bed,male,non-veg,True,True,brighton,available now,,950,950,6 months,6,,private,2.7,1,1BR for male professional,male.professional.brighton@gmail.com,True,True,,Professional
5/9/24 11:00 AM,2024-05-09,offering,4 bed,female,,,,allston,early June,2025-06-27,550,550,flexible,,,shared,2.0,5,4BR for female students,female.4br.allston@hotmail.com,True,True,,Female house
5/9/24 12:15 PM,2024-05-09,offering,2bhk,mixed,veg,False,False,cambridge,June 1,2025-06-01,650,650,12 months,12,False,shared,3.1,2,2BHK veg apartment,veg.2bhk.cambridge@gmail.com,True,True,,Veg household
5/9/24 1:30 PM,2024-05-09,looking,private,female,,True,,mission hill,May 20,2025-05-20,800,800,9 months,9,True,private,0.8,1,Private room for female,female.private.mh.search@yahoo.com,True,True,True,Female student
5/9/24 2:40 PM,2024-05-09,offering,3bhk,any,vegetarian,,True,jamaica plain,ASAP,,$710,710,6 months,6,True,shared,2.6,4,3BHK veg furnished,veg.furnished.3bhk.jp@gmail.com,True,True,,Veg household
5/9/24 3:55 PM,2024-05-09,offering,studio,male,,,,fenway,mid June,2025-06-27,1050,1050,12 months,12,,private,0.5,1,Studio for male Fenway,male.studio.fenway@hotmail.com,True,True,,Male student
5/9/24 5:10 PM,2024-05-09,looking,shared,female,veg,True,False,longwood,June 15,2025-06-15,500,500,flexible,,,shared,0.4,2,Veg female shared room,veg.female.longwood@gmail.com,True,True,,Veg females
5/9/24 6:25 PM,2024-05-09,offering,1 bed,,no preference,,,back bay,May 1,2025-05-01,1100,1100,9 months,9,False,private,1.1,1,1BR furnished Back Bay,1br.backbay.furnished@yahoo.com,True,True,,Prime location
5/9/24 7:35 PM,2024-05-09,offering,4bhk,male,non-veg,False,True,roxbury,available now,,750,750,12 months,12,True,2 bathroom,1.3,5,4BHK male student house,male.house.rox@gmail.com,True,True,,Male house
5/9/24 8:50 PM,2024-05-09,looking,2 bed,mixed,,True,,brookline,early May,2025-05-27,600,600,6 months,6,True,shared,1.7,2,2BR in Brookline,brookline.2br.wanted@hotmail.com,True,True,,Near Coolidge
5/9/24 10:00 PM,2024-05-09,offering,private,female,veg,,False,brighton,June 1,2025-06-01,$850,850,flexible,,,private,2.8,1,Private veg room female,female.veg.brighton@gmail.com,True,True,,Veg female
5/10/24 7:10 AM,2024-05-10,offering,3 bed,any,,,,allston,mid May,2025-05-27,575,575,12 months,12,,shared,2.1,4,3BR near BU campus,3br.bu.allston@yahoo.com,True,True,,Near BU
5/10/24 8:25 AM,2024-05-10,looking,studio,male,veg,True,True,cambridge,June 15,2025-06-15,1000,1000,9 months,9,True,private,3.0,1,Veg studio for male,veg.male.studio.cambridge@gmail.com,True,True,True,Veg male
5/10/24 9:40 AM,2024-05-10,offering,shared,female,,,,mission hill,May 20,2025-05-20,450,450,6 months,6,True,shared,0.7,2,Female shared Mission Hill,female.mh.shared@hotmail.com,True,True,,Female roommate
5/10/24 10:55 AM,2024-05-10,offering,4 bed,mixed,non-veg,False,False,jamaica plain,ASAP,,$550,550,12 months,12,,shared,2.5,5,Budget 4BR JP,budget.4br.jp@gmail.com,True,True,,Student friendly
5/10/24 12:10 PM,2024-05-10,looking,2bhk,female,,True,,fenway,June 1,2025-06-01,650,650,flexible,,False,shared,0.6,2,2BHK for female students,female.2bhk.fenway@yahoo.com,True,True,,Female students
